Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_CP_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN]
3.0,3.920293066,5.0,0.0848295,5.980185544,0.05643435043859423,0.8083079291287422,0.002806778060102801,0.1978681187587235,21.01313354334015,0.0444166884532768,0.058979289999999886,63.039400630020445,120.39638663781716,0.042500121,0.202909425
3.54953237,3.913016973,5.0,0.583372359,7.854972515,0.23431107043274357,0.7847728831002401,0.01378818941734697,0.18565474903632573,17.759917098606554,0.3054535069440376,0.24487746499999996,63.039400630020445,120.39638663781716,0.292273273,0.275784048
4.067900771,3.709535473,5.0,1.212925534,10.04565323,0.32365585679367576,0.7812038854667391,0.021827154018002164,0.1807761598847262,15.496789174265837,0.635087266858397,0.33825130600000003,63.039400630020445,120.39638663781716,0.607683429,0.360568653
4.553906848,3.347852063,5.0,1.957708542,12.46569389,0.3723539721729779,0.7848942801659886,0.02811146154967139,0.17899951242012235,13.84292712480632,1.0250553164992595,0.389145491,63.039400630020445,120.39638663781716,0.980824467,0.454006762
5.006427063,2.905271743,5.0,2.797577836,14.97412576,0.4004597591829289,0.787789912872738,0.03323763138121329,0.1779054959122897,12.591694603105903,1.4648105041731023,0.418518725,63.039400630020445,120.39638663781716,1.401604341,0.550743112
5.424415288,2.410742282,5.0,3.708730359,17.50236286,0.417375400770863,0.7896739721154779,0.0375338463738836,0.1771309680610852,11.621418583027275,1.9418895565000076,0.43619718700000004,63.039400630020445,120.39638663781716,1.858097567,0.648091847
5.806905228,1.897891096,5.0,4.66424864,19.97338486,0.42786608427727113,0.7900844720014477,0.04119038892043779,0.17638671390403918,10.855937569990672,2.442198500170736,0.447160954,63.039400630020445,120.39638663781716,2.33681832,0.743097627
6.153012649,1.38709008,5.0,5.635159124,22.33283369,0.4345133696618213,0.7894546029220658,0.04432352005585738,0.17565960076389184,10.245290270980629,2.950566798217276,0.454108003,63.039400630020445,120.39638663781716,2.823250666,0.833653636
6.461937428,0.891713024,5.0,6.591247694,24.54016065,0.4387728742481687,0.7883466101417129,0.04700518984100202,0.17500706446398306,9.75549536534764,3.451174350231485,0.45855959299999993,63.039400630020445,120.39638663781716,3.302257138,0.918175231
6.732965398,0.425207394,5.0,7.502317104,26.55670159,0.44150604337780286,0.7870421184680144,0.049281773341263366,0.17444761802352474,9.362798841762359,3.9282098784086767,0.461416015,63.039400630020445,120.39638663781716,3.758708724,0.995161603
6.965470002,0.000469162,5.0,8.339501745,28.34690587,0.4432504742150776,0.7857135188621434,0.05118502583490777,0.17398366876840898,9.050272359499058,4.3665593829374245,0.4632391120000001,63.039400630020445,120.39638663781716,4.17814357,1.063280746
7.158913742,0.0,5.086081797,8.908071675,29.65857718,0.4443209931320589,0.7788463720587178,0.05175986308116592,0.17232953999766643,8.957323962631351,4.744563961532733,0.4636305499999999,64.12470960762748,120.39638663781716,4.546959581,1.11334287
7.312849418,0.0,5.195446076,9.295284892,30.94776674,0.44509737421857465,0.7788463716409841,0.05175986308036171,0.17232953994600084,8.957323962680606,5.057254496420229,0.46363055000000003,65.50356132732632,120.39638663781716,4.855095716,1.161737302
7.426921164,0.0,5.27648885,9.587537406,31.92079369,0.4455716323127951,0.778846371447648,0.05175986307770936,0.17232953998095818,8.957323962109742,5.2976267789617175,0.4636305499999999,66.52533890699718,120.39638663781716,5.091278414,1.198263417
7.500865272,0.0,5.329022767,9.779399169,32.55957918,0.4458536249441603,0.7788463713578517,0.05175986307725288,0.17232953999382594,8.95732396179514,5.457440525590127,0.46363055000000003,67.18768023508262,120.39638663781716,5.248186603,1.22224256
7.534510799,0.0,5.35292638,9.867327955,32.8523297,0.4459706507273624,0.7788463715178869,0.051759863080532154,0.1723295399629291,8.957323962070946,5.531209344645811,0.4636305499999999,67.48905412236502,120.39638663781716,5.320523056,1.233232019
7.541241633,0.0,5.357708331,9.884965469,32.91105213,0.44599404206769,0.778846372059551,0.051759863091402764,0.1723295400257123,8.95732396264161,5.546046241689165,0.46363055,67.54934438734145,120.39638663781716,5.335074621,1.23543638
7.58833327,0.0,5.391164791,10.00880519,33.32336468,0.44615684735677497,0.7788463715167305,0.051759863103032676,0.17232953996272496,8.957323961136712,5.65059402329411,0.46363055,67.9711594244619,120.39638663781716,5.437629628,1.250914035
7.675676842,0.0,5.453218417,10.2405388,34.09489971,0.44642663052060494,0.7788463719559686,0.05175986307506463,0.17232953997964062,8.957323962135323,5.84796766729356,0.46363055,68.75352410245378,120.39638663781716,5.630967375,1.279876417
7.803070431,0.0,5.543725753,10.58328514,35.23604104,0.44677840488007375,0.7788463719265708,0.051759863075312995,0.17232953996990294,8.95732396155092,6.144004110633933,0.46363055,69.89462974526576,120.39638663781716,5.920680499,1.322713319
7.970219531,0.0,5.662477568,11.04154918,36.76178755,0.44716271572760125,0.7788463719839982,0.0517598631071529,0.17232954000773992,8.95732396276591,6.547353174297346,0.46363055,71.39183839353117,120.39638663781716,6.314795749,1.379987779
8.176737731,0.0,5.809199332,11.62116264,38.69155545,0.4475317773998769,0.7788463714151901,0.05175986305756346,0.17232953996211547,8.957323961638393,7.069604538622962,0.4636305499999999,73.24168880591904,120.39638663781716,6.824124693,1.452428655
8.422147605,0.0,5.983551858,12.3292069,41.04892142,0.4478484977888766,0.7788463714455671,0.05175986309689694,0.17232953994587277,8.957323961955552,7.725444242926215,0.4636305499999999,75.43990455339306,120.39638663781716,7.462468983,1.540920985
8.70588182,0.0,6.185132081,13.17391868,43.86130896,0.44760776628574483,0.7788463716217471,0.05175986307362953,0.17232953999073572,8.957323962473708,8.532832474119012,0.4636305499999999,77.98140384075022,120.39638663781716,8.237943086,1.646494209
9.027284445,0.0,6.413473991,14.16457987,47.15962114,0.4467831755281688,0.7788463716914567,0.051759863078291085,0.17232953998165296,8.957323961865372,9.513192790706633,0.46363055000000003,80.86031126977304,120.39638663781716,9.167503057,1.770308387
